,City,City Link,Course,Course Link
1,Acampo,http://www.golfcalifornia.com/courses/acampo/,Forest Lake Golf Course,http://www.golfcalifornia.com/courses/acampo/forest-lake-gc/
2,Agoura Hills,http://www.golfcalifornia.com/courses/agoura-hills/,Lindero Country Club,http://www.golfcalifornia.com/courses/agoura-hills/lindero-cc/
3,Ahwahnee,http://www.golfcalifornia.com/courses/ahwahnee/,River Creek Golf Course,http://www.golfcalifornia.com/courses/ahwahnee/river-creek-gc/
4,Alameda,http://www.golfcalifornia.com/courses/alameda/,Earl Fry North Course at Chuck Corica Golf Complex,http://www.golfcalifornia.com/courses/alameda/chuck-corica-earl-fry/
5,Alameda,http://www.golfcalifornia.com/courses/alameda/,Jack Clark South Course at Chuck Corica Golf Complex,http://www.golfcalifornia.com/courses/alameda/chuck-corica-jack-clark/
6,Alameda,http://www.golfcalifornia.com/courses/alameda/,Mif Albright Par-3 Course at Chuck Corica Golf Complex,http://www.golfcalifornia.com/courses/alameda/chuck-corica-par3/
7,Alamo,http://www.golfcalifornia.com/courses/alamo/,Round Hill Country Club,http://www.golfcalifornia.com/courses/alamo/round-hill-cc/
8,Alhambra,http://www.golfcalifornia.com/courses/alhambra/,Alhambra Golf Course,http://www.golfcalifornia.com/courses/alhambra/alhambra-gc/
9,Aliso Viejo,http://www.golfcalifornia.com/courses/aliso-viejo/,Aliso Viejo Country Club,http://www.golfcalifornia.com/courses/aliso-viejo/aliso-viejo-cc/
10,Altadena,http://www.golfcalifornia.com/courses/altadena/,Altadena Golf Course,http://www.golfcalifornia.com/courses/altadena/altadena-gc/
11,Alturas,http://www.golfcalifornia.com/courses/alturas/,Arrowhead Golf Course,http://www.golfcalifornia.com/courses/alturas/arrowhead-gc/
12,American Canyon,http://www.golfcalifornia.com/courses/american-canyon/,Chardonnay Golf Club,http://www.golfcalifornia.com/courses/american-canyon/chardonnay-gc/
13,Anaheim,http://www.golfcalifornia.com/courses/anaheim/,Anaheim Hills Golf Course,http://www.golfcalifornia.com/courses/anaheim/anaheim-hills-gc/
14,Anaheim,http://www.golfcalifornia.com/courses/anaheim/,Dad Miller Golf Course,http://www.golfcalifornia.com/courses/anaheim/dad-miller-gc/
15,Angels Camp,http://www.golfcalifornia.com/courses/angels-camp/,Greenhorn Creek Resort,http://www.golfcalifornia.com/courses/angels-camp/greenhorn-creek/
16,Antelope,http://www.golfcalifornia.com/courses/antelope/,Antelope Greens Golf Course,http://www.golfcalifornia.com/courses/antelope/antelope-greens-gc/
